Index,english,korean,portuguese,spanish,french,arabic
IDS_DATE_TIME,Date/Time,날짜/시간,Data/hora,Fecha/hora,Date/Heure,التاريخ / الوقت
IDS_LIGHT,Light,조명,luz,Luz,Lumière,ضوء
IDS_DEVICE_ID,Device ID,기기 아이디,ID de disp.,Id. del disp.,Ref. de l'app.,معرف الجهاز
IDS_USER_NAME,User Name,사용자 이름,Nome do usuár.,Nombre de us.,Nom d'util.,اسم االمستخدم
IDS_LOGIN,LOGIN,로그인,CONECTE-SE,ACCESO,CONNEXION,تسجيل الدخول
IDS_I,I,I,I,I,I,I
IDS_A,A,A,A,A,A,A
IDS_V,V,V,V,V,V,V
IDS_DATE,DATE,날짜,DATA,FECHA,DATE,تاريخ
IDS_CONNECT,Connect,연결,Conect.,Conect.,Relier,يتصل
IDS_PRINT,Print,인쇄,Impres.,Impri.,Impri.,مطبعة
IDS_MOVE,Move,전송,Mover,Moverse,Se déplacer,يتحرك
IDS_SEARCH,Search,찾기,Procu.,Búsque.,Cherch.,بحث
IDS_ZOOM,Zoom,줌,Ampliação,Zoom,Zoom,تكبير
IDS_DELETE,Delete,삭제,Excluir,Borrar,Effacer,حذف
IDS_SHARE,Share,공유,Comp.,Cuota,Partager,يشارك
IDS_SAVE,SAVE,저장,SALVE,AHORRAR,ENREG.,حفظ
IDS_CANCEL,CANCEL,취소,CANCEL.,CANCEL.,ANNULER,إلغاء
IDS_SAVE_SMALL,Save,저장,Salve,Ahorrar,Enreg.,حفظ
IDS_CANCEL_SMALL,Cancel,취소,CANCELAR,CANCELAR,ANNULER,إلغاء
IDS_LOCATION,Location,위치,Localização,Localización,Lieu,موقع
IDS_SPEED_LIMIT,Speed Limit,규정 제한 속도,Limite de velocidade,Límite de velocidad,Limitation de vitesse,الحد الأقصى للسرعة
IDS_CAPTURE_LIMIT,Capture Limit,실제 제한 속도,Limite de captura,Límite de captura,Limite de capture,حد الالتقاط
IDS_ENFORCEMENT_MODE,Enforcement Mode,단속 모드,Modo de execução,Modo de cumplimiento,Mode d'application,وضع الإنفاذ
IDS_SPEED_MODE,Speed Mode,속도 모드,Modo de velocidade,Modo de velocidad,Mode Vitesse,وضع السرعة
IDS_ALL_IMAGE_VIDEO,A(Image+Video),A(이미지+동영상),A(imagem+vídeo),A(Imagen+Video),A(Image+Vidéo),A(صورة + فيديو)
IDS_AUTO_IMAGE,Auto(Image),자동(이미지),Auto(Imagem),Automático (Imagen),Auto(Image),تلقائي (صورة)
IDS_VIDEO,V(Video),V(동영상),V(Vídeo),V(Video),V(Vidéo),V(فيديو)
IDS_LT,LT,LT,LT,LT,LT,LT
IDS_ST,ST,ST,ST,ST,ST,ST
IDS_RETICLE_SHAPE,Reticle Shape,조준점 모양,Forma de retículo,Forma de retícula,Forme du réticule,شكل شبكاني
IDS_WEATHER_MODE,Weather Mode,날씨 모드,Modo Meteorológico,Modo meteorológico,Mode météo,وضع الطقس
IDS_DAYNIGHT,Day & Night,낮 & 밤,Dia & noite,día y noche,Jour Nuit,ليلا نهارا
IDS_BUZZER,Buzzer,버저,campainha,Zumbador,Avertisseur sonore,صفارة
IDS_ANTI_JAMMING_MODE,Anti Jamming Mode,안티-재밍 모드,Modo anti-interferência,Modo antiinterferencias,Mode anti-brouillage,وضع مكافحة التشويش
IDS_CROSS,Cross,십자선,Cruz,Cruz,Traverser,تعبر
IDS_DOT,Dot,점,Ponto,Punto,Point,نقطة
IDS_ROUND,Round,원형,Volta,Ronda,Rond,مستدير
IDS_RECTANGLE,Rectangle,사각형,Retângulo,Rectángulo,Rectangle,مستطيل
IDS_SUNNY,Sunny,맑음,Ensolarado,Soleado,Ensoleillé,مشمس
IDS_DAY_DARK,Day1,주간1,Dia 1,Día 1,Jour1,اليوم 1
IDS_DAY_STANDARD,Day2,주간2,Dia 2,Día 2,Jour2,اليوم 2
IDS_DAY_BRIGHT,Day3,주간3,Dia 3,Día 3,Jour3,اليوم 3
IDS_NIGHT_DARK,Night1,야간1,Noite1,Noche1,Nuit1,ليلة1
IDS_NIGHT_STANDARD,Night2,야간2,Noite2,Noche2,Nuit2,ليلة2
IDS_NIGHT_BRIGHT,Night3,야간3,Noite3,Noche3,Nuit3,ليلة3
IDS_ON,On,켬,Sobre,Sobre,Au,تشغيل
IDS_OFF,Off,끔,Desligado,Apagado,À l'arrêt,عن
IDS_LCD_BRIGHTNESS,LCD Brightness,LCD 밝기,Brilho do LCD,Brillo LCD,Luminosité de l'écran LCD,سطوع شاشة LCD
IDS_UNIT,Unit,단위,Unidade,Unidad,Unité,وحدة
IDS_DATE_FORMAT,Date format,날짜 형식,Formato de data,Formato de fecha,Format de date,صيغة التاريخ
IDS_SHOW_INFO,Show Info,정보 표시,Mostrar info.,Mostrar info.,Afficher les info.,تظهر المعلومات
IDS_FACTORY_DEFAULT,Factory Default,공장 초기화,Rest. de fábrica,Predet. de fábrica,Défaut de fabr.,ضبط المصنع
IDS_ADMIN_PW,Admin P/W,관리자 비밀번호,Admin P/W, P/W de admin.,Admin. P/W,المسؤول P / W
IDS_LEVEL1,Level1,레벨1,Nível 1,Nivel 1,Niveau 1,المستوى 1
IDS_LEVEL2,Level2,레벨2,Nível 2,Nivel 2,Niveau 2,المستوي 2
IDS_LEVEL3,Level3,레벨3,Nível 3,Nivel 3,Niveau 3,مستوى 3
IDS_KM_PER_H,"km/h, m","km/h, m","km/h, m","km/h, m","km/h, m","كم / ساعة ، م"
IDS_MPH_FT,"mph, ft","mph, ft","mph, pés","mph, pies","mi/h, pi","ميل في الساعة ، قدم"
IDS_YYYY_MM_DD,YYYY/MM/DD,YYYY/MM/DD,AAAA/MM/DD,AAAA/MM/DD,AAAA/MM/JJ,YYYY / MM / DD
IDS_MM_DD_YYYY,MM/DD/YYYY,MM/DD/YYYY,MM/DD/AAAA,MM/DD/AAAA,MM/JJ/AAAA,MM / DD / YYYY
IDS_DD_MM_YYYY,DD/MM/YYYY,DD/MM/YYYY,DD/MM/AAAA,DD/MM/AAAA,JJ/MM/AAAA,اليوم / الشهر / السنة
IDS_MAC_ADDRESS,Mac Address,맥 주소,Endereço MAC,Dirección MAC,Adresse Mac,عنوان ماك
IDS_WIFISSID_AND_FTP_ID,WiFi SSID ,WiFi SSID,SSID de Wi-Fi,WiFi SSID,SSID Wi-Fi,WiFi SSID
IDS_IP,IP,IP,IP,IP,IP,عنوان IP
IDS_SUBNET_MASK,Subnet Mask,서브넷 마스크,Subnet Mask,Subnet Mask,Subnet Mask,قناع الشبكة الفرعية
IDS_PRINTER,Printer,프린터,Impressora,Impresora,Imprimante,طابعة
IDS_THERMAL_EAST,Thermal(East),열전사(이스트),Térmica (East),Térmica (East),Thermique (East),حراري (شرق)
IDS_THERMAL_WOOSIM,Thermal(Woosim),열전사(우심),Térmica (Woosim),Térmica (Woosim),Thermique(Woosim),حراري (ووسيم)
IDS_BT_HP,BT(HP),BT(HP),BT(HP),BT (HP),BT(HP),BT (HP)
IDS_DHCP,DHCP,자동할당,alocação automática,asignación automática,allocation automatique,التخصيص التلقائي
IDS_MANUAL,Manual,수동,Manual,Manual,Manuel,كتيب
IDS_Manual,Manual,수동,Manual,Manual,Manuel,كتيب
IDS_LANUAGE,Language,언어,Língua,Idioma,Langue,لغة
IDS_BLUETOOTH,Bluetooth,블루투스,Bluetooth,Bluetooth,Bluetooth,بلوتوث
IDS_GPS,GPS,GPS,GPS,GPS,GPS,الجميع GPS
IDS_FTP,FTP,FTP,FTP,FTP,FTP,عنوان FTP
IDS_DISABLE,Disable,비활성화,Desativar,Deshabilitar,Désactiver,إبطال
IDS_ENABLE_AUTO,Enable(Auto),활성화(자동),Ativar (Automático),Habilitar (automático),Activer (Auto),تمكين (تلقائي)
IDS_ENABLE_MANUAL,Enable(Manual),활성화(수동),Ativar (Manual),Habilitar (Manual),Activer (Manuel),تمكين (يدوي)
IDS_WIFI,WiFi,와이파이,Wi-fi,Wifi,Wifi,واي فاي
IDS_NINE_AXIS_SENSOR,9 Axis Sensor,9축 센서,Sensor de 9 eixos,Sensor de 9 ejes,Capteur 9 axes,9 محور الاستشعار
IDS_MOTION_SENSOR,Motion Sensor,모션 센서,sensor de movimento,sensor de movimiento,capteur de mouvement,مستشعر الحركة
IDS_MIC_N_SPEAKER,Speaker,스피커,Alto-falante,Altavoz,Haut-parleur,مكبر الصوت  
IDS_POWER_SAVING_TIME,Power Saving Time,절전 시간,Tempo de eco. de energia,Tiempo de ahorro de en.,Temps d'éco. d'énergie,وقت توفير الطاقة
IDS_SETTING,Setting,세팅,Contexto,Ajuste,Paramètre,ضبط
IDS_SENSITIVITY,Sensitivity:,감도:,Sensibilidade:,Sensibilidad:,Sensibilité:,حساسية:
IDS_TIME,Time:,시간:,Tempo:,Hora:,Temps:,وقت:
IDS_LATITUDE,Latitude:,위도:,Latitude:,Latitud:,Latitude:,خط العرض:
IDS_LONGITUDE,Longtitude:,경도:,Longitude:,Longitud:,Longitude :,خط الطول:
IDS_NUMBER_OF_SATELLITES,Number of Satellites:,위성 수:,Número de satélites:,Número de satélites:,Nombre de Satellite :,عدد الأقمار الصناعية:
IDS_INDICATOR_GPS,GPS,GPS,GPS,GPS,GPS,GPS
IDS_HIDE,Hide,숨김,Esconder,Ocultar,Cacher,إخفاء
IDS_SPEED,Return,돌아감,retornar,devolver,retour,يعود
IDS_AT,A.T,A.T,A.T,A.T,A.T,في
IDS_OPT,OPT,OPT,OPT,OPT,OPT,"يختار، يقرر"
IDS_FOCUS_DOWN,F-,F-,F-,F-,F-,F-
IDS_FOCUS_UP,F+,F+,F+,F+,F+,F+
IDS_APPLY,Apply,적용,Aplicar,Solicitar,Appliquer,تطبيق
IDS_EXPOSE,Expose,노출,Expor,Exponer,Exposer,يفضح
IDS_FOCUS,Focus,포커스,Foco,Enfocar,Se concentrer,ركز
IDS_TIMEZONE,Timezone,타임존,Fuso horário,Zona horaria,Fuseau horaire,وحدة زمنية
IDS_GPS_SYNC,GPS Sync,GPS 동기화,Sincronização GPS,Sincronización de GPS,Synchronisation GPS,مزامنة GPS
IDS_SELFTEST_TITLE,[Self Test],[자가 진단],[Auto teste],[Autotest],[Auto-test],[اختبار ذاتي]
IDS_CAMERA_TITLE,CAMERA,카메라,CÂMERA,CÁMARA,CAMÉRA,الة تصوير
IDS_SELFTEST_CHECK,CHECKING...,확인중...,verificando...,comprobación...,vérification...,تدقيق...
IDS_LASER_TITLE,LASER,레이저,LASER,LÁSER,LASER,الليزر
IDS_BATTERY_TITLE,BATTERY,배터리,BATERIA,BATERÍA,BATTERIE,البطارية
IDS_STORAGE_TITLE,STORAGE,저장소,ARMAZE.,ALMACE.,ESP. DE RANG.,تخزين
IDS_EXPIRED_DATE,Expiry date(service required after):,만료일(이후 서비스 필요):,Data expirada (serviço necessário após):,Fecha de vencimiento (servicio requerido después):,Date d'expiration (service requis après):,تاريخ انتهاء الصلاحية (الخدمة مطلوبة بعد):
IDS_VERSION,V1.0.0,V1.0.0,V1.0.0,V1.0.0,V1.0.0,V1.0.0
IDS_MAIN_MENU,Main Menu,메인 메뉴,Menu principal,Menú principal,Menu principal,القائمة الرئيسية
IDS_CAMERA_ZOOM_FOCUS1,CAMERA,카메라,FOCO DO,ENFOQUE DEL,MISE AU POINT,تركيز التكبير
IDS_CAMERA_ZOOM_FOCUS2,ZOOM,줌,ZOOM DA,ZOOM DE,DU ZOOM DE,التصغير
IDS_CAMERA_ZOOM_FOCUS3,FOCUS,포커스,CÂMERA,LA CÁMARA,LA CAMÉRA,بالكاميرا
IDS_CAMERA_HUD_ALIGN1,CAMERA,카메라,ALINHAMENTO,ALINEACIÓN,ALIGNEMENT,محاذاة
IDS_CAMERA_HUD_ALIGN2,HUD,HUD,DO HUD DA,DEL HUD DE,DU HUD DE,شاشة عرض
IDS_CAMERA_HUD_ALIGN3,ALIGN,정렬,CÂMERA,LA CÁMARA,LA CAMÉRA,
IDS_OK,OK,확인,OK,OK,OK,نعم
IDS_HOME,Home,메인 메뉴,Lar,Casa,Domicile,بيت
IDS_DEFAULT,Default,중심좌표,Padrão,Defecto,Défaut,تقصير
IDS_AUTO_TRIGGER,A.T,A.T,A.T,A.T,A.T,A.T
IDS_HUD,HUD,HUD,HUD,HUD,HUD,هود
IDS_UP,Up,위,Acima,Hasta,En haut,فوق
IDS_LEFT,Left,왼쪽,Deixou,Izquierda,Gauche,اليسار
IDS_RIGHT,Right,오른쪽,Direita,Derecha,Droit,الصحيح
IDS_DOWN,Down,아래,Baixa,Abajo,Vers le bas,أسفل
IDS_ADMIN,Admin,관리자,Administrador,Administración,Administrateur,مسؤل
IDS_CHANGE_SSID_AND_FTP,Change SSID & FTP ID to Device ID,SSID 및 FTP ID를 기기 ID로 변경,Altere SSID e ID de FTP para ID do dispositivo,Cambiar SSID e ID de FTP a ID de dispositivo,Changer le SSID et l'ID FTP en ID de périphérique,قم بتغيير SSID ومعرف FTP إلى معرف الجهاز
IDS_STILL_IMAGE_AND_MOVIE_VIEWER,"""Still image and movie viewer If movie, the first frame shows""","""이미지 및 동영상 뷰어 동영상인 경우 첫 번째 프레임이 표시됩니다.""","Imagem estática e visualizador de filme Se for um filme, o primeiro quadro é exibido","Imagen fija y visor de películas Si es una película, se muestra el primer cuadro","Visionneuse d'images fixes et de films Si film, la première image s'affiche","عارض الصور الثابتة والأفلام في حالة وجود فيلم ، يظهر الإطار الأول"
IDS_SNAPSHOT,Snapshot,스냅샷,Instantâneo,Instantánea,Instantané,لمحة
IDS_BACK,Back,뒤로,De volta,atrás,Arrière,خلف
IDS_WARNING_MESSAGE,Warning message,경고 메시지,Mensagem de aviso,Mensaje de advertencia,Message d'alerte,رسالة تحذير
IDS_CONTINUE_QUESTION,Do you continue using it?,계속 사용하시겠습니까?,Você continua a usá-la?,¿Sigues usándola?,Continuez-vous à l'utiliser?,هل تريد الاستمرار في استخدامه؟
IDS_LASER,Laser,레이저,Laser,Láser,Laser,الليزر
IDS_STORAGE,Storage,저장소,Armaze.,Almace.,Esp. de rang.,تخزين
IDS_BATTERY,Battery,배터리,Bateria,Batería,Batterie,بطارية
IDS_FAIL,FAIL,실패,Falhou,Fallar,Échouer,يفشل
IDS_CONTINUE,Continue,계속,Continuar,Continuar,Continuer,يكمل
IDS_POWER_OFF,Power off,전원 종료,Desligar,Apagado,Éteindre,انقطاع التيار الكهربائي
